,city,year,month,diversion_rate
0,Providence,2008,7,13.469999999999999
1,Providence,2008,8,13.03
2,Providence,2008,9,13.819999999999999
3,Providence,2008,10,13.48
4,Providence,2008,11,21.65
5,Providence,2008,12,14.89
6,Providence,2009,1,11.23
7,Providence,2009,2,10.39
8,Providence,2009,3,10.1
9,Providence,2009,4,18.54
10,Providence,2009,5,13.100000000000001
11,Providence,2009,6,14.52
12,Providence,2009,7,14.180000000000001
13,Providence,2009,8,12.42
14,Providence,2009,9,12.520000000000001
15,Providence,2009,10,12.29
16,Providence,2009,11,13.18
17,Providence,2009,12,28.78
18,Providence,2010,1,22.46
19,Providence,2010,2,17.32
20,Providence,2010,3,18.529999999999998
21,Providence,2010,4,19.96
22,Providence,2010,5,20.04
23,Providence,2010,6,19.93
24,Providence,2010,7,17.1
25,Providence,2010,8,17.82
26,Providence,2010,9,16.72
27,Providence,2010,10,17.560000000000002
28,Providence,2010,11,26.400000000000002
29,Providence,2010,12,19.4
30,Providence,2011,1,19.56
31,Providence,2011,2,17.4
32,Providence,2011,3,14.91
33,Providence,2011,4,18.81
34,Providence,2011,5,19.53
35,Providence,2011,6,18.35
36,Providence,2011,7,15.959999999999999
37,Providence,2011,8,17.06
38,Providence,2011,9,17.630000000000003
39,Providence,2011,10,17.09
40,Providence,2011,11,21.490000000000002
41,Providence,2011,12,16.79
42,Providence,2012,1,15.110000000000001
43,Providence,2012,2,12.91
44,Providence,2012,3,12.78
45,Providence,2012,4,17.380000000000003
46,Providence,2012,5,17.560000000000002
47,Providence,2012,6,17.52
48,Providence,2012,7,15.909999999999998
49,Providence,2012,8,14.85
50,Providence,2012,9,16.12
51,Providence,2012,10,17.48
52,Providence,2012,11,26.029999999999998
53,Providence,2012,12,25.61
54,Providence,2013,1,23.8
55,Providence,2013,2,23.64
56,Providence,2013,3,19.64
57,Providence,2013,4,21.26
58,Providence,2013,5,18.54
59,Providence,2013,6,15.049999999999999
60,Providence,2013,7,14.57
61,Providence,2013,8,11.88
62,Providence,2013,9,14.09
63,Providence,2013,10,14.46
64,Providence,2013,11,23.3
65,Providence,2013,12,16.97
66,Providence,2014,1,13.98
67,Providence,2014,2,12.45
68,Providence,2014,3,12.09
69,Providence,2014,4,16.04
70,Providence,2014,5,14.149999999999999
71,Providence,2014,6,15.260000000000002
72,Providence,2014,7,10.93
73,Providence,2014,8,11.8
74,Providence,2014,9,13.569999999999999
75,Providence,2014,10,12.73
76,Providence,2014,11,24.46
77,Providence,2014,12,18.33
78,Providence,2015,1,12.23
79,Providence,2015,2,12.1
80,Providence,2015,3,12.370000000000001
81,Providence,2015,4,14.71
82,Providence,2015,5,15.36
83,Providence,2015,6,13.489999999999998
84,Providence,2015,7,10.32
85,Providence,2015,8,12.01
86,Providence,2015,9,11.48
87,Providence,2015,10,12.98
88,Providence,2015,11,23.27
89,Providence,2015,12,16.189999999999998
90,Providence,2016,1,9.69
91,Providence,2016,2,9.56
92,Providence,2016,3,7.969999999999999
93,Providence,2016,4,12.620000000000001
94,Providence,2016,5,14.45
95,Providence,2016,6,11.3
96,Providence,2016,7,10.02
97,Providence,2016,8,10.22
98,Providence,2016,9,9.4
99,Providence,2016,10,12.65
100,Providence,2016,11,18.66
101,Providence,2016,12,11.62
102,Providence,2017,1,9.790000000000001
103,Providence,2017,2,9.520000000000001
104,Providence,2017,3,7.71
105,Providence,2017,4,14.32
106,Providence,2017,5,15.540000000000001
107,Providence,2017,6,11.65
108,Providence,2017,7,12.559999999999999
109,Providence,2017,8,11.52
110,Providence,2017,9,10.440000000000001
111,Providence,2017,10,14.75
112,Providence,2017,11,17.1
113,Providence,2017,12,16.11
114,Providence,2018,1,11.48
115,Providence,2018,2,11.28
116,Providence,2018,3,12.8
117,Providence,2018,4,19.91
118,Providence,2018,5,20.07
119,Providence,2018,6,19.78
120,Providence,2018,7,19.35
121,Providence,2018,8,17.9
122,Providence,2018,9,18.81
123,Providence,2018,10,20.66
124,Providence,2018,11,25.3
125,Providence,2018,12,21.54
126,Providence,2019,1,14.580000000000002
127,Providence,2019,2,14.82
128,Providence,2019,3,13.83
129,Providence,2019,4,17.62
130,Providence,2019,5,14.71
131,Providence,2019,6,14.729999999999999
132,Providence,2019,7,13.919999999999998
133,Providence,2019,8,14.149999999999999
134,Providence,2019,9,14.580000000000002
135,Providence,2019,10,15.85
136,Providence,2019,11,23.32
137,Providence,2019,12,14.510000000000002
0,New York City,2016,1,16.72881355932203
1,New York City,2016,2,19.11525423728813
2,New York City,2016,3,17.03728813559322
3,New York City,2016,4,16.771186440677965
4,New York City,2016,5,16.666101694915255
5,New York City,2016,6,16.615254237288138
6,New York City,2016,7,15.571186440677966
7,New York City,2016,8,15.732203389830508
8,New York City,2016,9,16.32542372881356
9,New York City,2016,10,16.35593220338983
10,New York City,2016,11,15.925423728813554
11,New York City,2016,12,18.083050847457624
12,New York City,2017,1,18.95932203389831
13,New York City,2017,2,17.105084745762706
14,New York City,2017,3,17.272881355932203
15,New York City,2017,4,17.06949152542373
16,New York City,2017,5,16.586440677966102
17,New York City,2017,6,17.08474576271186
18,New York City,2017,7,16.642372881355932
19,New York City,2017,8,16.440677966101696
20,New York City,2017,9,17.116949152542375
21,New York City,2017,10,16.89830508474576
22,New York City,2017,11,18.02033898305085
23,New York City,2017,12,18.642372881355932
24,New York City,2018,1,19.430508474576268
25,New York City,2018,2,18.3
26,New York City,2018,3,17.927118644067793
27,New York City,2018,4,17.749152542372883
28,New York City,2018,5,17.176271186440676
29,New York City,2018,6,17.85762711864407
30,New York City,2018,7,16.852542372881352
31,New York City,2018,8,16.886440677966103
32,New York City,2018,9,17.376271186440675
33,New York City,2018,10,17.328813559322036
34,New York City,2018,11,18.352542372881352
35,New York City,2018,12,18.983050847457623
36,New York City,2019,1,19.5322033898305
37,New York City,2019,2,17.905084745762714
38,New York City,2019,3,17.89830508474577
39,New York City,2019,4,17.652542372881356
40,New York City,2019,5,17.37796610169491
41,New York City,2019,6,18.21355932203389
42,New York City,2019,7,17.330508474576277
43,New York City,2019,8,17.201694915254233
44,New York City,2019,9,17.97627118644068
45,New York City,2019,10,17.59152542372881
46,New York City,2019,11,18.87457627118644
47,New York City,2019,12,18.68135593220339
0,Buffalo,2011,1,8.818800247371676
1,Buffalo,2011,2,7.400401938763447
2,Buffalo,2011,3,6.459970636497108
3,Buffalo,2011,4,6.819949866021263
4,Buffalo,2011,5,5.741557596355485
5,Buffalo,2011,6,5.671761866452131
6,Buffalo,2011,7,6.130169374946264
7,Buffalo,2011,8,3.62101044797481
8,Buffalo,2011,9,3.626181951712109
9,Buffalo,2011,10,3.813623702203089
10,Buffalo,2011,11,4.70217606907415
11,Buffalo,2011,12,8.881808224634073
12,Buffalo,2012,1,9.970642600848102
13,Buffalo,2012,2,10.27843908498085
14,Buffalo,2012,3,9.668724458742718
15,Buffalo,2012,4,6.043303748092034
16,Buffalo,2012,5,5.618379296473427
17,Buffalo,2012,6,5.080567051157876
18,Buffalo,2012,7,5.000455000455001
19,Buffalo,2012,8,5.245887100350317
20,Buffalo,2012,9,5.114871891840787
21,Buffalo,2012,10,6.240471592641528
22,Buffalo,2012,11,11.696119511750775
23,Buffalo,2012,12,11.851548082837809
24,Buffalo,2013,1,10.204216073781291
25,Buffalo,2013,2,9.65934227989972
26,Buffalo,2013,3,9.329523556382483
27,Buffalo,2013,4,8.644834050060645
28,Buffalo,2013,5,8.20828331332533
29,Buffalo,2013,6,8.470004315925767
30,Buffalo,2013,7,8.599521946979575
31,Buffalo,2013,8,7.984539490413467
32,Buffalo,2013,9,8.158394358557093
33,Buffalo,2013,10,9.680789320951828
34,Buffalo,2013,11,9.411475611254454
35,Buffalo,2013,12,11.023413145851297
36,Buffalo,2014,1,12.014690451206715
37,Buffalo,2014,2,12.668005561563417
38,Buffalo,2014,3,12.1449824181769
39,Buffalo,2014,4,10.084253493118425
40,Buffalo,2014,5,9.997008376545672
41,Buffalo,2014,6,9.875843593838546
42,Buffalo,2014,7,10.725671367590643
43,Buffalo,2014,8,10.165691474818177
44,Buffalo,2014,9,10.015278436331068
45,Buffalo,2014,10,11.44213174748399
46,Buffalo,2014,11,12.285571926827533
47,Buffalo,2014,12,27.775403147464544
48,Buffalo,2015,1,19.03657636766101
49,Buffalo,2015,2,21.66887028059351
50,Buffalo,2015,3,20.069789573860632
51,Buffalo,2015,4,13.795715958399338
52,Buffalo,2015,5,13.557230980123371
53,Buffalo,2015,6,14.345099697033751
54,Buffalo,2015,7,15.466666666666667
55,Buffalo,2015,8,14.811657107425205
56,Buffalo,2015,9,16.484072138884205
57,Buffalo,2015,10,16.1993769470405
58,Buffalo,2015,11,18.63692926198909
59,Buffalo,2015,12,27.351411589895992
60,Buffalo,2016,1,20.608331496583645
61,Buffalo,2016,2,19.705380017079417
62,Buffalo,2016,3,17.879620601010547
63,Buffalo,2016,4,15.32199564761828
64,Buffalo,2016,5,14.041497208244296
65,Buffalo,2016,6,15.187420821223638
66,Buffalo,2016,7,17.30440262897272
67,Buffalo,2016,8,15.182622926430112
68,Buffalo,2016,9,16.1292897047087
69,Buffalo,2016,10,13.848057051375346
70,Buffalo,2016,11,18.52496564360971
71,Buffalo,2016,12,46.77874743326489
72,Buffalo,2017,1,19.886307948642557
73,Buffalo,2017,2,19.36308446053893
74,Buffalo,2017,3,18.82417885730058
75,Buffalo,2017,4,16.84424150177575
76,Buffalo,2017,5,14.913052303944788
77,Buffalo,2017,6,15.579024034959943
78,Buffalo,2017,7,16.93423518865618
79,Buffalo,2017,8,14.93802086980881
80,Buffalo,2017,9,16.796189521183255
81,Buffalo,2017,10,16.872872207921613
82,Buffalo,2017,11,18.680089485458613
83,Buffalo,2017,12,44.21247683755404
84,Buffalo,2018,1,20.853874975350028
85,Buffalo,2018,2,23.01818181818182
86,Buffalo,2018,3,21.8797482092468
87,Buffalo,2018,4,17.773505767214264
88,Buffalo,2018,5,16.06963748388021
89,Buffalo,2018,6,14.11623567048787
90,Buffalo,2018,7,19.362520608169994
91,Buffalo,2018,8,17.0873786407767
92,Buffalo,2018,9,18.551319101333085
93,Buffalo,2018,10,18.000678311005597
94,Buffalo,2018,11,18.35513379499017
95,Buffalo,2018,12,33.83128684782127
96,Buffalo,2019,1,21.878802628376732
97,Buffalo,2019,2,24.80552070263488
98,Buffalo,2019,3,21.577023498694516
99,Buffalo,2019,4,16.17409994626545
100,Buffalo,2019,5,20.01869741352446
101,Buffalo,2019,6,16.165827564505978
102,Buffalo,2019,7,17.86741148443276
103,Buffalo,2019,8,17.242798353909464
104,Buffalo,2019,9,17.69819193324061
105,Buffalo,2019,10,17.485695052170986
106,Buffalo,2019,11,20.877361511367276
0,Seattle,2008,1,37.628515804879385
1,Seattle,2008,2,34.74482287956664
2,Seattle,2008,3,32.72248583200702
3,Seattle,2008,4,31.674145140788447
4,Seattle,2008,5,27.602223830619828
5,Seattle,2008,6,27.296654021429212
6,Seattle,2008,7,30.069704401703884
7,Seattle,2008,8,31.716685563551376
8,Seattle,2008,9,30.534580382906306
9,Seattle,2008,10,30.618689280211882
10,Seattle,2008,11,28.312412831241286
11,Seattle,2008,12,35.660944087740084
12,Seattle,2009,1,34.97314453125
13,Seattle,2009,2,32.69638093493469
14,Seattle,2009,3,31.702568611442572
15,Seattle,2009,4,26.420140705854994
16,Seattle,2009,5,24.431749639067142
17,Seattle,2009,6,26.137689168671336
18,Seattle,2009,7,30.05453627614058
19,Seattle,2009,8,30.33053541846439
20,Seattle,2009,9,30.487144670163385
21,Seattle,2009,10,30.50189556735824
22,Seattle,2009,11,27.905467843730953
23,Seattle,2009,12,35.033847379090645
24,Seattle,2010,1,35.58123319055683
25,Seattle,2010,2,32.17199321504537
26,Seattle,2010,3,30.135741042452562
27,Seattle,2010,4,27.636670197358466
28,Seattle,2010,5,26.875848158490655
29,Seattle,2010,6,25.701071822916866
30,Seattle,2010,7,28.16115465807001
31,Seattle,2010,8,30.248517880624632
32,Seattle,2010,9,30.399140956471634
33,Seattle,2010,10,29.538278497231502
34,Seattle,2010,11,28.778290695596898
35,Seattle,2010,12,33.12950640092866
36,Seattle,2011,1,35.417065402490074
37,Seattle,2011,2,33.56028368794326
38,Seattle,2011,3,31.967455075458474
39,Seattle,2011,4,28.131425918146242
40,Seattle,2011,5,25.81751849887232
41,Seattle,2011,6,25.25569541362002
42,Seattle,2011,7,27.45185848634124
43,Seattle,2011,8,29.985924074035168
44,Seattle,2011,9,30.83211933768687
45,Seattle,2011,10,29.977023858387703
46,Seattle,2011,11,27.58223078111812
47,Seattle,2011,12,31.213561314977223
48,Seattle,2012,1,33.06024381117435
49,Seattle,2012,2,33.62306771456826
50,Seattle,2012,3,31.258900667337407
51,Seattle,2012,4,26.363975222914192
52,Seattle,2012,5,25.406886473650562
53,Seattle,2012,6,26.207176862124893
54,Seattle,2012,7,26.90869028262743
55,Seattle,2012,8,29.70757206384039
56,Seattle,2012,9,30.454934857210773
57,Seattle,2012,10,30.38514675247619
58,Seattle,2012,11,27.5264094506077
59,Seattle,2012,12,33.31505754549974
60,Seattle,2013,1,34.80563969253315
61,Seattle,2013,2,32.74511769882915
62,Seattle,2013,3,29.717798996382538
63,Seattle,2013,4,27.389278826978508
64,Seattle,2013,5,25.814511929691797
65,Seattle,2013,6,26.514791291648265
66,Seattle,2013,7,28.57114105036046
67,Seattle,2013,8,30.395826552385085
68,Seattle,2013,9,30.113227893601724
69,Seattle,2013,10,29.200826887943425
70,Seattle,2013,11,26.192906353661648
71,Seattle,2013,12,34.949291519815866
72,Seattle,2014,1,34.322944228098976
73,Seattle,2014,2,34.72561148629476
74,Seattle,2014,3,30.784902922105108
75,Seattle,2014,4,27.20619282195637
76,Seattle,2014,5,26.047209200669247
77,Seattle,2014,6,27.56853954725719
78,Seattle,2014,7,29.82513913129384
79,Seattle,2014,8,30.609251790347216
80,Seattle,2014,9,30.47452310927107
81,Seattle,2014,10,29.362700907178652
82,Seattle,2014,11,28.26398229704517
83,Seattle,2014,12,32.2880329012595
84,Seattle,2015,1,34.36078402006852
85,Seattle,2015,2,32.322926033584984
86,Seattle,2015,3,30.408505577791782
87,Seattle,2015,4,28.833915178646002
88,Seattle,2015,5,27.883012072300406
89,Seattle,2015,6,29.989833398924308
90,Seattle,2015,7,32.291193310915205
91,Seattle,2015,8,32.07867026206343
92,Seattle,2015,9,30.712042661567494
93,Seattle,2015,10,31.004748973629688
94,Seattle,2015,11,29.134871962923082
95,Seattle,2015,12,34.90291601690278
96,Seattle,2016,1,35.01169872985219
97,Seattle,2016,2,33.83660917495577
98,Seattle,2016,3,31.084862951683267
99,Seattle,2016,4,27.079528074281335
100,Seattle,2016,5,28.025312882280986
101,Seattle,2016,6,29.39247290325161
102,Seattle,2016,7,30.12802696035854
103,Seattle,2016,8,32.017865755205605
104,Seattle,2016,9,31.729359513992488
105,Seattle,2016,10,31.04419521687919
106,Seattle,2016,11,29.21470204276757
107,Seattle,2016,12,36.09387434049228
108,Seattle,2017,1,37.20305528952839
109,Seattle,2017,2,35.13903257155396
110,Seattle,2017,3,33.766700879894024
111,Seattle,2017,4,29.060369055140413
112,Seattle,2017,5,26.745558400078444
113,Seattle,2017,6,28.389957907396273
114,Seattle,2017,7,31.104163324068008
115,Seattle,2017,8,32.536308216888976
116,Seattle,2017,9,32.258459196019516
117,Seattle,2017,10,31.279178338001866
118,Seattle,2017,11,27.871845061735
119,Seattle,2017,12,34.35827869470194
120,Seattle,2018,1,35.59386009058883
121,Seattle,2018,2,33.94548516101874
122,Seattle,2018,3,31.345384175572853
123,Seattle,2018,4,29.6199829205807
124,Seattle,2018,5,26.72537227949599
125,Seattle,2018,6,29.119750143831673
126,Seattle,2018,7,30.984359061543692
127,Seattle,2018,8,31.48499010567976
128,Seattle,2018,9,31.097503085540684
129,Seattle,2018,10,29.953805008509605
130,Seattle,2018,11,27.631384159881566
131,Seattle,2018,12,33.78535105718619
132,Seattle,2019,1,33.37492202121023
133,Seattle,2019,2,34.095043201455205
134,Seattle,2019,3,31.056797020484172
135,Seattle,2019,4,27.95512328988256
136,Seattle,2019,5,26.744100022194274
137,Seattle,2019,6,27.99193859611509
