year,month,num_tweets,likes,retweets,MAU,perc_geotagged
2013,1,20,4,4,48,0.024
2013,2,17,1,1,48,0.024
2013,3,10,0,1,48,0.024
2013,4,8,3,1,49,0.023
2013,5,19,1,5,49,0.023
2013,6,23,3,2,49,0.023
2013,7,14,2,1,53,0.024
2013,8,15,2,2,53,0.024
2013,9,18,3,2,53,0.024
2013,10,18,4,2,54,0.025
2013,11,28,6,2,54,0.025
2013,12,13,7,15,54,0.025
2014,1,37,12,12,57,0.027
2014,2,44,11,6,57,0.027
2014,3,52,18,16,57,0.027
2014,4,83,51,59,60,0.026
2014,5,97,29,53,60,0.026
2014,6,66,53,64,60,0.026
2014,7,59,29,36,64,0.027
2014,8,47,75,20,64,0.027
2014,9,88,66,93,64,0.027
2014,10,66,34,39,64,0.022
2014,11,121,36,32,64,0.022
2014,12,53,35,34,64,0.022
2015,1,77,717,646,66,0.02
2015,2,57,36,20,66,0.02
2015,3,91,69,80,66,0.02
2015,4,86,103,78,66,0.023
2015,5,103,82,130,66,0.023
2015,6,132,49,46,66,0.023
2015,7,128,53,81,66,0.025
2015,8,117,77,41,66,0.025
2015,9,128,121,107,66,0.025
2015,10,131,75,66,65,0.023
2015,11,153,193,153,65,0.023
2015,12,164,133,84,65,0.023
2016,1,89,49,18,65,0.022
2016,2,90,85,51,65,0.022
2016,3,146,168,82,65,0.022
2016,4,127,139,96,66,0.023
2016,5,124,161,72,66,0.023
2016,6,77,128,72,66,0.023
2016,7,63,56,13,67,0.026
2016,8,61,60,24,67,0.026
2016,9,106,129,46,67,0.026
2016,10,150,243,132,67,0.02
2016,11,176,421,111,67,0.02
2016,12,128,288,124,67,0.02
2017,1,218,921,250,69,0.017
2017,2,113,453,206,69,0.017
2017,3,128,507,288,69,0.017
2017,4,145,621,271,68,0.014
2017,5,125,1342,457,68,0.014
2017,6,284,809,271,68,0.014
2017,7,129,168,66,69,0.015
2017,8,165,314,97,69,0.015
2017,9,194,1573,662,69,0.015
2017,10,127,309,139,68,0.016
2017,11,107,229,98,68,0.016
2017,12,129,475,164,68,0.016
2018,1,90,785,186,69,0.015
2018,2,99,339,136,69,0.015
2018,3,111,249,75,69,0.015
2018,4,126,550,178,68,0.015
2018,5,111,210,78,68,0.015
2018,6,116,493,139,68,0.015
2018,7,130,754,348,67,0.014
2018,8,139,384,89,67,0.014
2018,9,124,459,110,67,0.014
2018,10,206,709,244,66,0.015
2018,11,259,751,137,66,0.015
2018,12,178,1067,193,66,0.015
2019,1,198,461,122,68,0.014
2019,2,273,940,185,68,0.014
2019,3,229,849,182,68,0.014
2019,4,154,508,107,68,0.012
2019,5,217,965,244,68,0.012
2019,6,285,6773,1302,68,0.012
2019,7,180,915,158,68,0.013
2019,8,273,21028,6156,68,0.013
2019,9,399,11139,2248,68,0.013
2019,10,199,1587,285,68,0.013
2019,11,189,1922,404,68,0.013
2019,12,178,929,153,68,0.013